Survived,Name,Sex,Age,SibSp,Parch,Fare
Yes,"Silven, Miss. Lyyli Karoliina",female,18,0,2,13
No,"Matthews, Mr. William John",male,30,0,0,13
No,"Van Impe, Miss. Catharina",female,10,0,2,24.15
No,"Gheorgheff, Mr. Stanio",male,,0,0,7.8958
No,"Charters, Mr. David",male,21,0,0,7.7333
No,"Zimmerman, Mr. Leo",male,29,0,0,7.875
No,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,1,1,14.4
No,"Rosblom, Mr. Viktor Richard",male,18,1,1,20.2125
No,"Wiseman, Mr. Phillippe",male,,0,0,7.25
Yes,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28,1,0,26
Yes,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19,0,0,26
No,"Flynn, Mr. James",male,,0,0,7.75
Yes,"Pickard, Mr. Berk (Berk Trembisky)",male,32,0,0,8.05
Yes,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0,26.55
Yes,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,16.1
Yes,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42,1,0,26
No,"Kallio, Mr. Nikolai Erland",male,17,0,0,7.125
No,"Silvey, Mr. William Baird",male,50,1,0,55.9
Yes,"Carter, Miss. Lucile Polk",female,14,1,2,120
No,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,2,2,34.375
Yes,"Richards, Mrs. Sidney (Emily Hocking)",female,24,2,3,18.75
No,"Fortune, Mr. Mark",male,64,1,4,263
No,"Kvillner, Mr. Johan Henrik Johannesson",male,31,0,0,10.5
Yes,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,1,1,26.25
No,"Hampe, Mr. Leon",male,20,0,0,9.5
No,"Petterson, Mr. Johan Emil",male,25,1,0,7.775
Yes,"Reynaldo, Ms. Encarnacion",female,28,0,0,13
Yes,"Johannesen-Bratthammer, Mr. Bernt",male,,0,0,8.1125
Yes,"Dodge, Master. Washington",male,4,0,2,81.8583
Yes,"Mellinger, Miss. Madeleine Violet",female,13,0,1,19.5
Yes,"Seward, Mr. Frederic Kimber",male,34,0,0,26.55
Yes,"Baclini, Miss. Marie Catherine",female,5,2,1,19.2583
Yes,"Peuchen, Major. Arthur Godfrey",male,52,0,0,30.5
No,"West, Mr. Edwy Arthur",male,36,1,2,27.75
No,"Hagland, Mr. Ingvald Olai Olsen",male,,1,0,19.9667
No,"Foreman, Mr. Benjamin Laventall",male,30,0,0,27.75
Yes,"Goldenberg, Mr. Samuel L",male,49,1,0,89.1042
No,"Peduzzi, Mr. Joseph",male,,0,0,8.05
Yes,"Jalsevac, Mr. Ivan",male,29,0,0,7.8958
No,"Millet, Mr. Francis Davis",male,65,0,0,26.55
Yes,"Kenyon, Mrs. Frederick R (Marion)",female,,1,0,51.8625
Yes,"Toomey, Miss. Ellen",female,50,0,0,10.5
No,"O'Connor, Mr. Maurice",male,,0,0,7.75
Yes,"Anderson, Mr. Harry",male,48,0,0,26.55
No,"Morley, Mr. William",male,34,0,0,8.05
No,"Gee, Mr. Arthur H",male,47,0,0,38.5
No,"Milling, Mr. Jacob Christian",male,48,0,0,13
No,"Maisner, Mr. Simon",male,,0,0,8.05
No,"Goncalves, Mr. Manuel Estanslas",male,38,0,0,7.05
No,"Campbell, Mr. William",male,,0,0,0
No,"Smart, Mr. John Montgomery",male,56,0,0,26.55
No,"Scanlan, Mr. James",male,,0,0,7.725
Yes,"Baclini, Miss. Helene Barbara",female,0.75,2,1,19.2583
No,"Keefe, Mr. Arthur",male,,0,0,7.25
No,"Cacic, Mr. Luka",male,38,0,0,8.6625
Yes,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33,1,2,27.75
Yes,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23,0,0,13.7917
No,"Strandberg, Miss. Ida Sofia",female,22,0,0,9.8375
No,"Clifford, Mr. George Quincy",male,,0,0,52
No,"Renouf, Mr. Peter Henry",male,34,1,0,21
No,"Braund, Mr. Lewis Richard",male,29,1,0,7.0458
No,"Karlsson, Mr. Nils August",male,22,0,0,7.5208
Yes,"Hirvonen, Miss. Hildur E",female,2,0,1,12.2875
No,"Goodwin, Master. Harold Victor",male,9,5,2,46.9
No,"Frost, Mr. Anthony Wood ""Archie""",male,,0,0,0
No,"Rouse, Mr. Richard Henry",male,50,0,0,8.05
Yes,"Turkula, Mrs. (Hedwig)",female,63,0,0,9.5875
Yes,"Bishop, Mr. Dickinson H",male,25,1,0,91.0792
No,"Lefebre, Miss. Jeannie",female,,3,1,25.4667
Yes,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35,1,0,90
No,"Kent, Mr. Edward Austin",male,58,0,0,29.7
No,"Somerton, Mr. Francis William",male,30,0,0,8.05
Yes,"Coutts, Master. Eden Leslie ""Neville""",male,9,1,1,15.9
No,"Hagland, Mr. Konrad Mathias Reiersen",male,,1,0,19.9667
No,"Windelov, Mr. Einar",male,21,0,0,7.25
No,"Molson, Mr. Harry Markland",male,55,0,0,30.5
No,"Artagaveytia, Mr. Ramon",male,71,0,0,49.5042
No,"Stanley, Mr. Edward Roland",male,21,0,0,8.05
No,"Yousseff, Mr. Gerious",male,,0,0,14.4583
Yes,"Eustis, Miss. Elizabeth Mussey",female,54,1,0,78.2667
No,"Shellard, Mr. Frederick William",male,,0,0,15.1
No,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25,1,2,151.55
No,"Svensson, Mr. Olof",male,24,0,0,7.7958
No,"Calic, Mr. Petar",male,17,0,0,8.6625
No,"Canavan, Miss. Mary",female,21,0,0,7.75
No,"O'Sullivan, Miss. Bridget Mary",female,,0,0,7.6292
No,"Laitinen, Miss. Kristina Sofia",female,37,0,0,9.5875
Yes,"Maioni, Miss. Roberta",female,16,0,0,86.5
No,"Penasco y Castellana, Mr. Victor de Satode",male,18,1,0,108.9
Yes,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33,0,2,26
Yes,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,26.55
No,"Olsen, Mr. Henry Margido",male,28,0,0,22.525
Yes,"Lang, Mr. Fang",male,26,0,0,56.4958
Yes,"Daly, Mr. Eugene Patrick",male,29,0,0,7.75
No,"Webber, Mr. James",male,,0,0,8.05
Yes,"McGough, Mr. James Robert",male,36,0,0,26.2875
Yes,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54,1,0,59.4
No,"Coleff, Mr. Satio",male,24,0,0,7.4958
No,"Walker, Mr. William Anderson",male,47,0,0,34.0208
Yes,"Lemore, Mrs. (Amelia Milley)",female,34,0,0,10.5
No,"Ryan, Mr. Patrick",male,,0,0,24.15
Yes,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36,1,0,26
No,"Pavlovic, Mr. Stefo",male,32,0,0,7.8958
Yes,"Perreault, Miss. Anne",female,30,0,0,93.5
No,"Vovk, Mr. Janko",male,22,0,0,7.8958
No,"Lahoud, Mr. Sarkis",male,,0,0,7.225
Yes,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44,0,1,57.9792
No,"Kassem, Mr. Fared",male,,0,0,7.2292
No,"Farrell, Mr. James",male,40.5,0,0,7.75
Yes,"Ridsdale, Miss. Lucy",female,50,0,0,10.5
No,"Farthing, Mr. John",male,,0,0,221.7792
No,"Salonen, Mr. Johan Werner",male,39,0,0,7.925
No,"Hocking, Mr. Richard George",male,23,2,1,11.5
Yes,"Quick, Miss. Phyllis May",female,2,1,1,26
No,"Toufik, Mr. Nakli",male,,0,0,7.2292
No,"Elias, Mr. Joseph Jr",male,17,1,1,7.2292
Yes,"Peter, Mrs. Catherine (Catherine Rizk)",female,,0,2,22.3583
No,"Cacic, Miss. Marija",female,30,0,0,8.6625
Yes,"Hart, Miss. Eva Miriam",female,7,0,2,26.25
No,"Butt, Major. Archibald Willingham",male,45,0,0,26.55
Yes,"LeRoy, Miss. Bertha",female,30,0,0,106.425
No,"Risien, Mr. Samuel Beard",male,,0,0,14.5
Yes,"Frolicher, Miss. Hedwig Margaritha",female,22,0,2,49.5
Yes,"Crosby, Miss. Harriet R",female,36,0,2,71
No,"Andersson, Miss. Ingeborg Constanzia",female,9,4,2,31.275
No,"Andersson, Miss. Sigrid Elisabeth",female,11,4,2,31.275
Yes,"Beane, Mr. Edward",male,32,1,0,26
No,"Douglas, Mr. Walter Donald",male,50,1,0,106.425
No,"Nicholson, Mr. Arthur Ernest",male,64,0,0,26
Yes,"Beane, Mrs. Edward (Ethel Clarke)",female,19,1,0,26
Yes,"Padro y Manent, Mr. Julian",male,,0,0,13.8625
No,"Goldsmith, Mr. Frank John",male,33,1,1,20.525
Yes,"Davies, Master. John Morgan Jr",male,8,1,1,36.75
Yes,"Thayer, Mr. John Borland Jr",male,17,0,2,110.8833
No,"Sharp, Mr. Percival James R",male,27,0,0,26
No,"O'Brien, Mr. Timothy",male,,0,0,7.8292
Yes,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22,0,0,7.225
Yes,"Ohman, Miss. Velin",female,22,0,0,7.775
No,"Wright, Mr. George",male,62,0,0,26.55
Yes,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48,1,0,39.6
No,"Robbins, Mr. Victor",male,,0,0,227.525
Yes,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39,1,1,79.65
Yes,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36,1,0,17.4
No,"Morrow, Mr. Thomas Rowan",male,,0,0,7.75
No,"Sivic, Mr. Husein",male,40,0,0,7.8958
No,"Norman, Mr. Robert Douglas",male,28,0,0,13.5
No,"Simmons, Mr. John",male,,0,0,8.05
No,"Meanwell, Miss. (Marion Ogden)",female,,0,0,8.05
No,"Davies, Mr. Alfred J",male,24,2,0,24.15
No,"Stoytcheff, Mr. Ilia",male,19,0,0,7.8958
No,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,4,21.075
No,"Doharr, Mr. Tannous",male,,0,0,7.2292
Yes,"Jonsson, Mr. Carl",male,32,0,0,7.8542
Yes,"Harris, Mr. George",male,62,0,0,10.5
Yes,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53,2,0,51.4792
Yes,"Flynn, Mr. John Irwin (""Irving"")",male,36,0,0,26.3875
Yes,"Kelly, Miss. Mary",female,,0,0,7.75
No,"Rush, Mr. Alfred George John",male,16,0,0,8.05
No,"Patchett, Mr. George",male,19,0,0,14.5
Yes,"Garside, Miss. Ethel",female,34,0,0,13
Yes,"Silvey, Mrs. William Baird (Alice Munger)",female,39,1,0,55.9
No,"Caram, Mrs. Joseph (Maria Elias)",female,,1,0,14.4583
Yes,"Jussila, Mr. Eiriik",male,32,0,0,7.925
Yes,"Christy, Miss. Julie Rachel",female,25,1,1,30
Yes,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39,1,1,110.8833
No,"Downton, Mr. William James",male,54,0,0,26
No,"Ross, Mr. John Hugo",male,36,0,0,40.125
No,"Paulner, Mr. Uscher",male,,0,0,8.7125
Yes,"Taussig, Miss. Ruth",female,18,0,2,79.65
No,"Jarvis, Mr. John Denzil",male,47,0,0,15
Yes,"Frolicher-Stehli, Mr. Maxmillian",male,60,1,1,79.2
No,"Gilinski, Mr. Eliezer",male,22,0,0,8.05
No,"Murdlin, Mr. Joseph",male,,0,0,8.05
No,"Rintamaki, Mr. Matti",male,35,0,0,7.125
Yes,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52,1,0,78.2667
No,"Elsbury, Mr. William James",male,47,0,0,7.25
No,"Bourke, Miss. Mary",female,,0,2,7.75
No,"Chapman, Mr. John Henry",male,37,1,0,26
No,"Van Impe, Mr. Jean Baptiste",male,36,1,1,24.15
Yes,"Leitch, Miss. Jessie Wills",female,,0,0,33
No,"Johnson, Mr. Alfred",male,49,0,0,0
No,"Boulos, Mr. Hanna",male,,0,0,7.225
Yes,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49,1,0,56.9292
Yes,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24,2,1,27
No,"Slabenoff, Mr. Petco",male,,0,0,7.8958
No,"Harrington, Mr. Charles H",male,,0,0,42.4
No,"Torber, Mr. Ernst William",male,44,0,0,8.05
Yes,"Homer, Mr. Harry (""Mr E Haven"")",male,35,0,0,26.55
No,"Lindell, Mr. Edvard Bengtsson",male,36,1,0,15.55
No,"Karaic, Mr. Milan",male,30,0,0,7.8958
Yes,"Daniel, Mr. Robert Williams",male,27,0,0,30.5
Yes,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22,1,2,41.5792
Yes,"Shutes, Miss. Elizabeth W",female,40,0,0,153.4625
No,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39,1,5,31.275
No,"Jardin, Mr. Jose Neto",male,,0,0,7.05
Yes,"Murphy, Miss. Margaret Jane",female,,1,0,15.5
No,"Horgan, Mr. John",male,,0,0,7.75
No,"Brocklebank, Mr. William Alfred",male,35,0,0,8.05
Yes,"Herman, Miss. Alice",female,24,1,2,65
No,"Danbom, Mr. Ernst Gilbert",male,34,1,1,14.4
No,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26,1,0,16.1
Yes,"Becker, Miss. Marion Louise",female,4,2,1,39
No,"Gavey, Mr. Lawrence",male,26,0,0,10.5
No,"Yasbeck, Mr. Antoni",male,27,1,0,14.4542
Yes,"Kimball, Mr. Edwin Nelson Jr",male,42,1,0,52.5542
Yes,"Nakid, Mr. Sahid",male,20,1,1,15.7417
No,"Hansen, Mr. Henry Damsgaard",male,21,0,0,7.8542
No,"Bowen, Mr. David John ""Dai""",male,21,0,0,16.1
No,"Sutton, Mr. Frederick",male,61,0,0,32.3208
No,"Kirkland, Rev. Charles Leonard",male,57,0,0,12.35
Yes,"Longley, Miss. Gretchen Fiske",female,21,0,0,77.9583
No,"Bostandyeff, Mr. Guentcho",male,26,0,0,7.8958
No,"O'Connell, Mr. Patrick D",male,,0,0,7.7333
Yes,"Barkworth, Mr. Algernon Henry Wilson",male,80,0,0,30
No,"Lundahl, Mr. Johan Svensson",male,51,0,0,7.0542
Yes,"Stahelin-Maeglin, Dr. Max",male,32,0,0,30.5
No,"Parr, Mr. William Henry Marsh",male,,0,0,0
No,"Skoog, Miss. Mabel",female,9,3,2,27.9
Yes,"Davis, Miss. Mary",female,28,0,0,13
No,"Leinonen, Mr. Antti Gustaf",male,32,0,0,7.925
No,"Collyer, Mr. Harvey",male,31,1,1,26.25
No,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41,0,5,39.6875
No,"Thorneycroft, Mr. Percival",male,,1,0,16.1
No,"Jensen, Mr. Hans Peder",male,20,0,0,7.8542
Yes,"Sagesser, Mlle. Emma",female,24,0,0,69.3
No,"Skoog, Miss. Margit Elizabeth",female,2,3,2,27.9
Yes,"Foo, Mr. Choong",male,,0,0,56.4958
Yes,"Baclini, Miss. Eugenie",female,0.75,2,1,19.2583
Yes,"Harper, Mr. Henry Sleeper",male,48,1,0,76.7292
No,"Cor, Mr. Liudevit",male,19,0,0,7.8958
Yes,"Simonius-Blumer, Col. Oberst Alfons",male,56,0,0,35.5
No,"Willey, Mr. Edward",male,,0,0,7.55
Yes,"Stanley, Miss. Amy Zillah Elsie",female,23,0,0,7.55
No,"Mitkoff, Mr. Mito",male,,0,0,7.8958
Yes,"Doling, Miss. Elsie",female,18,0,1,23
No,"Kalvik, Mr. Johannes Halvorsen",male,21,0,0,8.4333
Yes,"O'Leary, Miss. Hanora ""Norah""",female,,0,0,7.8292
No,"Hegarty, Miss. Hanora ""Nora""",female,18,0,0,6.75
No,"Hickman, Mr. Leonard Mark",male,24,2,0,73.5
No,"Radeff, Mr. Alexander",male,,0,0,7.8958
No,"Bourke, Mrs. John (Catherine)",female,32,1,1,15.5
No,"Eitemiller, Mr. George Floyd",male,23,0,0,13
No,"Newell, Mr. Arthur Webster",male,58,0,2,113.275
Yes,"Frauenthal, Dr. Henry William",male,50,2,0,133.65
No,"Badt, Mr. Mohamed",male,40,0,0,7.225
No,"Colley, Mr. Edward Pomeroy",male,47,0,0,25.5875
No,"Coleff, Mr. Peju",male,36,0,0,7.4958
Yes,"Lindqvist, Mr. Eino William",male,20,1,0,7.925
No,"Hickman, Mr. Lewis",male,32,2,0,73.5
No,"Butler, Mr. Reginald Fenton",male,25,0,0,13
No,"Rommetvedt, Mr. Knud Paust",male,,0,0,7.775
No,"Cook, Mr. Jacob",male,43,0,0,8.05
Yes,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,,1,0,52
Yes,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40,1,1,39
No,"Davidson, Mr. Thornton",male,31,1,0,52
No,"Mitchell, Mr. Henry Michael",male,70,0,0,10.5
Yes,"Wilhelms, Mr. Charles",male,31,0,0,13
No,"Watson, Mr. Ennis Hastings",male,,0,0,0
No,"Edvardsson, Mr. Gustaf Hjalmar",male,18,0,0,7.775
No,"Sawyer, Mr. Frederick Charles",male,24.5,0,0,8.05
Yes,"Turja, Miss. Anna Sofia",female,18,0,0,9.8417
No,"Goodwin, Mrs. Frederick (Augusta Tyler)",female,43,1,6,46.9
Yes,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,1,512.3292
No,"Peters, Miss. Katie",female,,0,0,8.1375
Yes,"Hassab, Mr. Hammad",male,27,0,0,76.7292
No,"Olsvigen, Mr. Thor Anderson",male,20,0,0,9.225
No,"Goodwin, Mr. Charles Edward",male,14,5,2,46.9
No,"Brown, Mr. Thomas William Solomon",male,60,1,1,39
No,"Laroche, Mr. Joseph Philippe Lemercier",male,25,1,2,41.5792
No,"Panula, Mr. Jaako Arnold",male,14,4,1,39.6875
No,"Dakic, Mr. Branko",male,19,0,0,10.1708
No,"Fischer, Mr. Eberhard Thelander",male,18,0,0,7.7958
Yes,"Madill, Miss. Georgette Alexandra",female,15,0,1,211.3375
Yes,"Dick, Mr. Albert Adrian",male,31,1,0,57
Yes,"Karun, Miss. Manca",female,4,0,1,13.4167
Yes,"Lam, Mr. Ali",male,,0,0,56.4958
No,"Saad, Mr. Khalil",male,25,0,0,7.225
No,"Weir, Col. John",male,60,0,0,26.55
No,"Chapman, Mr. Charles Henry",male,52,0,0,13.5
No,"Kelly, Mr. James",male,44,0,0,8.05
Yes,"Mullens, Miss. Katherine ""Katie""",female,,0,0,7.7333
No,"Thayer, Mr. John Borland",male,49,1,1,110.8833
No,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,0,0,7.65
Yes,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,227.525
Yes,"Silverthorne, Mr. Spencer Victor",male,35,0,0,26.2875
No,"Barbara, Miss. Saiide",female,18,0,1,14.4542
No,"Gallagher, Mr. Martin",male,25,0,0,7.7417
No,"Hansen, Mr. Henrik Juul",male,26,1,0,7.8542
No,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39,0,0,26
Yes,"Kelly, Mrs. Florence ""Fannie""",female,45,0,0,13.5
Yes,"Calderhead, Mr. Edward Pennington",male,42,0,0,26.2875
Yes,"Cleaver, Miss. Alice",female,22,0,0,151.55
Yes,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,15.2458
Yes,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24,0,0,49.5042
No,"Klaber, Mr. Herman",male,,0,0,26.55
Yes,"Taylor, Mr. Elmer Zebley",male,48,1,0,52
No,"Larsson, Mr. August Viktor",male,29,0,0,9.4833
No,"Greenberg, Mr. Samuel",male,52,0,0,13
No,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19,0,0,7.65
Yes,"Endres, Miss. Caroline Louise",female,38,0,0,227.525
Yes,"Troutt, Miss. Edwina Celia ""Winnie""",female,27,0,0,10.5
No,"McEvoy, Mr. Michael",male,,0,0,15.5
No,"Johnson, Mr. Malkolm Joackim",male,33,0,0,7.775
Yes,"Harper, Miss. Annie Jessie ""Nina""",female,6,0,1,33
No,"Jensen, Mr. Svend Lauritz",male,17,1,0,7.0542
No,"Gillespie, Mr. William Henry",male,34,0,0,13
No,"Hodges, Mr. Henry Price",male,50,0,0,13
Yes,"Chambers, Mr. Norman Campbell",male,27,1,0,53.1
No,"Oreskovic, Mr. Luka",male,20,0,0,8.6625
Yes,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30,3,0,21
Yes,"Mannion, Miss. Margareth",female,,0,0,7.7375
No,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,1,0,26
No,"Ilmakangas, Miss. Pieta Sofia",female,25,1,0,7.925
Yes,"Allen, Miss. Elisabeth Walton",female,29,0,0,211.3375
No,"Hassan, Mr. Houssein G N",male,11,0,0,18.7875
No,"Knight, Mr. Robert J",male,,0,0,0
No,"Berriman, Mr. William John",male,23,0,0,13
No,"Troupiansky, Mr. Moses Aaron",male,23,0,0,13
No,"Williams, Mr. Leslie",male,28.5,0,0,16.1
No,"Ford, Mrs. Edward (Margaret Ann Watson)",female,48,1,3,34.375
Yes,"Lesurer, Mr. Gustave J",male,35,0,0,512.3292
No,"Ivanoff, Mr. Kanio",male,,0,0,7.8958
No,"Nankoff, Mr. Minko",male,,0,0,7.8958
Yes,"Hawksford, Mr. Walter James",male,,0,0,30
No,"Cavendish, Mr. Tyrell William",male,36,1,0,78.85
Yes,"Ryerson, Miss. Susan Parker ""Suzette""",female,21,2,2,262.375
No,"McNamee, Mr. Neal",male,24,1,0,16.1
Yes,"Stranden, Mr. Juho",male,31,0,0,7.925
No,"Crosby, Capt. Edward Gifford",male,70,1,1,71
No,"Abbott, Mr. Rossmore Edward",male,16,1,1,20.25
Yes,"Sinkkonen, Miss. Anna",female,30,0,0,13
No,"Marvin, Mr. Daniel Warner",male,19,1,0,53.1
No,"Connaghton, Mr. Michael",male,31,0,0,7.75
Yes,"Wells, Miss. Joan",female,4,1,1,23
Yes,"Moor, Master. Meier",male,6,0,1,12.475
No,"Vande Velde, Mr. Johannes Joseph",male,33,0,0,9.5
No,"Jonkoff, Mr. Lalio",male,23,0,0,7.8958
Yes,"Herman, Mrs. Samuel (Jane Laver)",female,48,1,2,65
Yes,"Hamalainen, Master. Viljo",male,0.67,1,1,14.5
No,"Carlsson, Mr. August Sigfrid",male,28,0,0,7.7958
No,"Bailey, Mr. Percy Andrew",male,18,0,0,11.5
No,"Theobald, Mr. Thomas Leonard",male,34,0,0,8.05
Yes,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33,0,0,86.5
No,"Garfirth, Mr. John",male,,0,0,14.5
No,"Nirva, Mr. Iisakki Antino Aijo",male,41,0,0,7.125
Yes,"Barah, Mr. Hanna Assi",male,20,0,0,7.2292
Yes,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,120
No,"Eklund, Mr. Hans Linus",male,16,0,0,7.775
Yes,"Hogeboom, Mrs. John C (Anna Andrews)",female,51,1,0,77.9583
No,"Brewe, Dr. Arthur Jackson",male,,0,0,39.6
No,"Mangan, Miss. Mary",female,30.5,0,0,7.75
No,"Moran, Mr. Daniel J",male,,1,0,24.15
No,"Gronnestad, Mr. Daniel Danielsen",male,32,0,0,8.3625
No,"Lievens, Mr. Rene Aime",male,24,0,0,9.5
No,"Jensen, Mr. Niels Peder",male,48,0,0,7.8542
No,"Mack, Mrs. (Mary)",female,57,0,0,10.5
No,"Elias, Mr. Dibo",male,,0,0,7.225
Yes,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54,1,3,23
No,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18,0,0,7.75
No,"Tobin, Mr. Roger",male,,0,0,7.75
Yes,"Emanuel, Miss. Virginia Ethel",female,5,0,0,12.475
No,"Kilgannon, Mr. Thomas J",male,,0,0,7.7375
Yes,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43,0,1,211.3375
Yes,"Ayoub, Miss. Banoura",female,13,0,0,7.2292
Yes,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17,1,0,57
No,"Long, Mr. Milton Clyde",male,29,0,0,30
No,"Johnston, Mr. Andrew G",male,,1,2,23.45
No,"Ali, Mr. William",male,25,0,0,7.05
No,"Harmer, Mr. Abraham (David Lishin)",male,25,0,0,7.25
Yes,"Sjoblom, Miss. Anna Sofia",female,18,0,0,7.4958
No,"Rice, Master. George Hugh",male,8,4,1,29.125
Yes,"Dean, Master. Bertram Vere",male,1,1,2,20.575
No,"Guggenheim, Mr. Benjamin",male,46,0,0,79.2
No,"Keane, Mr. Andrew ""Andy""",male,,0,0,7.75
No,"Gaskell, Mr. Alfred",male,16,0,0,26
No,"Sage, Miss. Stella Anna",female,,8,2,69.55
No,"Hoyt, Mr. William Fisher",male,,0,0,30.6958
No,"Dantcheff, Mr. Ristiu",male,25,0,0,7.8958
No,"Otter, Mr. Richard",male,39,0,0,13
Yes,"Leader, Dr. Alice (Farnham)",female,49,0,0,25.9292
Yes,"Osman, Mrs. Mara",female,31,0,0,8.6833
No,"Ibrahim Shawah, Mr. Yousseff",male,30,0,0,7.2292
No,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",female,30,1,1,24.15
No,"Ponesell, Mr. Martin",male,34,0,0,13
Yes,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31,1,1,26.25
Yes,"Carter, Master. William Thornton II",male,11,1,2,120
Yes,"Thomas, Master. Assad Alexander",male,0.42,0,1,8.5167
Yes,"Hedman, Mr. Oskar Arvid",male,27,0,0,6.975
No,"Johansson, Mr. Karl Johan",male,31,0,0,7.775
No,"Andrews, Mr. Thomas Jr",male,39,0,0,0
No,"Pettersson, Miss. Ellen Natalia",female,18,0,0,7.775
No,"Meyer, Mr. August",male,39,0,0,13
Yes,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33,1,0,53.1
No,"Alexander, Mr. William",male,26,0,0,7.8875
No,"Lester, Mr. James",male,39,0,0,24.15
No,"Slemen, Mr. Richard James",male,35,0,0,10.5
No,"Andersson, Miss. Ebba Iris Alfrida",female,6,4,2,31.275
No,"Tomlin, Mr. Ernest Portage",male,30.5,0,0,8.05
No,"Fry, Mr. Richard",male,,0,0,0
No,"Heininen, Miss. Wendla Maria",female,23,0,0,7.925
No,"Mallet, Mr. Albert",male,31,1,1,37.0042
No,"Holm, Mr. John Fredrik Alexander",male,43,0,0,6.45
No,"Skoog, Master. Karl Thorsten",male,10,3,2,27.9
Yes,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,93.5
Yes,"Lulic, Mr. Nikola",male,27,0,0,8.6625
No,"Reuchlin, Jonkheer. John George",male,38,0,0,0
Yes,"Moor, Mrs. (Beila)",female,27,0,1,12.475
No,"Panula, Master. Urho Abraham",male,2,4,1,39.6875
No,"Flynn, Mr. John",male,,0,0,6.95
No,"Lam, Mr. Len",male,,0,0,56.4958
Yes,"Mallet, Master. Andre",male,1,0,2,37.0042
Yes,"McCormack, Mr. Thomas Joseph",male,,0,0,7.75
Yes,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62,0,0,80
Yes,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15,1,0,14.4542
Yes,"Richards, Master. George Sibley",male,0.83,1,1,18.75
No,"Saad, Mr. Amin",male,,0,0,7.2292
No,"Augustsson, Mr. Albert",male,23,0,0,7.8542
No,"Allum, Mr. Owen George",male,18,0,0,8.3
Yes,"Compton, Miss. Sara Rebecca",female,39,1,1,83.1583
No,"Pasic, Mr. Jakob",male,21,0,0,8.6625
